,Nbrhood,Borough_name,Latitude,Longitude
0,Abbey Wood,"Bexley, Greenwich ",51.4508323,0.0637268
1,Acton,"Ealing, Hammersmith and Fulham",51.49153695,-0.21497089652160112
2,Addington,Croydon,51.3713049,-0.101957
3,Albany Park,Bexley,51.4416793,0.150488
4,Aldborough Hatch,Redbridge,51.5763203,0.0454097
5,Aldgate,City,51.5156177,-0.0919983
6,Aldwych,Westminster,51.5004439,-0.1265398
7,Alperton,Brent,51.563825800000004,-0.2757596561855699
8,Anerley,Bromley,51.4028046,0.0148142
9,Angel,Islington,51.5384287,-0.0999051
10,Ardleigh Green,Havering,51.5443687,-0.1443031798919795
11,Arkley,Barnet,51.65309,-0.2002261
12,Arnos Grove,Enfield,51.6520851,-0.0810175
13,Balham,Wandsworth,51.4570271,-0.1932607
14,Bankside,Southwark,51.5029222,-0.103458
15,Barking,Barking and Dagenham,51.5541171,0.15050434261994267
16,Barnes,Richmond upon Thames,51.44037225,-0.3057195504470487
17,Beckton,Newham,51.52999955,0.02931796029382208
18,Beddington,Sutton,51.3575114,-0.173640122600872
19,Bedford Park,Ealing,51.5126553,-0.3051952
20,Bellingham,Lewisham,51.4624325,-0.0101331
21,Belmont,Harrow,51.5967688,-0.33727515543507014
22,Belsize Park,Camden,51.5423045,-0.1395604
23,Berrylands,Kingston upon Thames,51.4096275,-0.3062621
24,Bethnal Green,Tower Hamlets,51.5256294,-0.0335853
25,Blackheath Royal Standard,Greenwich,51.4820845,-0.0045417
26,Bounds Green,Haringey,51.587929849999995,-0.10541010599099046
27,Brentford,Hounslow,51.4686132,-0.3613471
28,Brixton,Lambeth,51.5013012,-0.117287
30,Cann Hall,Waltham Forest,51.59816935,-0.01783667461048707
31,Chelsea,Kensington and Chelsea,51.4989948,-0.1991229
32,Clapham,"Lambeth, Wandsworth",51.4280681,-0.18238518021537165
33,Cockfosters,"Barnet, Enfield",51.6163817,-0.1416285
34,Colliers Wood,Merton,51.410802849999996,-0.18809850595572736
35,Cowley,Hillingdon,51.542519299999995,-0.44833493117949663
36,Cricklewood,"Barnet, Brent, Camden",51.5904253,-0.2107779
37,Dalston,Hackney,51.5432402,-0.0493621
38,Dartford,Dartford,51.4443059,0.21807
39,Finsbury Park,"Haringey, Islington",51.576181,-0.0883114
40,Fulham,Hammersmith and Fulham,51.4920377,-0.2236401
41,Horn Park,"Greenwich, Lewisham",51.4781136,-0.0153803
42,Kennington,"Lambeth, Southwark",51.4925128,-0.11236660394830637
43,Kenton,"Brent, Harrow",51.584294099999994,-0.31378728384673865
44,Kilburn,"Brent, Camden",51.54275305,-0.1997442903676162
45,Park Royal,"Brent, Ealing",51.4971296,-0.3312267
46,Queensbury,"Harrow, Brent",51.5543503,-0.3161206
47,"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",51.4437263,-0.0202235
48,Sydenham Hill,"Lewisham, Southwark",51.5029041,-0.10598456348964677
